Model,Pearson,Pearson_p,Spearman,Spearman_p,Kendalltau,Kendalltau_p,n
gemma:7b,0.1931490531339626,0.4145598446186916,0.1532447224394058,0.5189073642968418,0.1158536585365854,0.5191326779142631,20
gpt-5-nano,-0.3052453568798256,0.1906365618237446,-0.2730769968655025,0.2440553262911504,-0.2072390845763268,0.2308723344111281,20
llama3.1:8b,-0.1073482459645141,0.6523717681367666,-0.0857824226805097,0.7191516558315598,-0.0707019139617761,0.6976085163516335,20
openchat:7b,-0.0289243830170889,0.9036518549041397,0.0452141264078263,0.8498733364189280,0.0229438376932965,0.8943555393632803,20
phi4:14b,-0.3743246479631612,0.1039516863008388,-0.3243606318224149,0.1629416111498417,-0.2580429018822985,0.1521292790062905,20
qwen2.5:7b,0.0117615920472107,0.9607487530627912,-0.0008006489808520,0.9973270615987245,-0.0063525683861638,0.9722551793410521,20
